Objeto;circunferencia;diametro
Banqueta;95.1;30.5
Lata;32.5;10.3
Pneu; 153.0; 48.5
guarda remédio; 18.7; 5.5
Porta Lápis;27.1;9.0
Tampa do tamborete; 87.5; 27.5
Creme facial; 22.5; 7.8
Pote;33;10
pote;52;16
Pote de condimentos; 32.0; 10.8
garrafa térmica; 31.6; 9.8
perfume; 16.0; 5.0
Tampa de Panela; 60.0; 19.1
lata ; 53; 17  
vela; 16.5; 5
Copo;17.6  ;5.8  
vaso;44.5;13.75
garrafa;29.0;9.0
Cofre;30.5; 9.2
Panela; 64.3; 20.2
Tampinha; 9.42; 3
Saboneteira; 25.20 ; 8.00 
Caneca; 28; 7.7
portalapis;21.4;6.7
balde; 108.38; 34.5
copo; 18.5; 5.1
cilindro de formatura; 15;  4.5  
Panela de Pressão; 63; 21
Tampa de garrafa; 9.42; 3
Alcool em gel; 21.98 ;7
esparadrapo; 19.0; 5.4
rolo-de-durex;29;10
Prato;88 ; 28
desodorante; 14.1; 4.3
CaixaDeSom;24;7.7
Ventilador;48.1;15.3
Caneca; 26.8; 8
Vela; 5.2; 2.3
Tampa; 14.0; 4.4
Panela;71.2;22.5
Fôrma;83.5;27
caneca; 32.5; 10.35
inseticida automático (base); 21.05; 6.10
tigela; 40.0; 13.0
caneca;25.9;8.0
Lanterna;12.246;3.9
pandeiro; 80.4; 25.4
Vela; 23.1; 7.5
Tampa da garrafa térmica;29.2;9.6
tubo de cola; 9.5; 3.1
caneca; 26.69; 8.5
caixa de som; 28; 7.5
Copo; 20.0; 6.0
Saleiro; 16.7; 5.3
lixeirinha;38.9;12.2
xícara;22;7
panela; 86.9; 28.0
manteiga de cacau; 6.5; 2
Frasco de cosmético; 15.2; 4.8
Tampa garrafa Bonafont;9.4;2.6
lata;20.7;6.6
Garrafa de vinho; 23.5; 7.0
rosquinha do cachorro;26.0;8.0
caneca; 26.9; 8.9
Garrafa; 27.0; 9.0
tampa; 69.0; 21.7
caixa de som; 33; 10.5
copo;25.12;8
enfeite; 17.3; 5.5
Copo; 21.0; 6.0
Filtro de Barro São Jose; 72.9  ; 20  
Tampa; 35.4; 11.1
lata; 31.8; 10.1
Copo;26.3;8.4
Extintor; 43.0; 13.7
CervejaFaxe;28.5;8.4
Panela; 58.0; 19.0
medalha; 14.8; 4.4
pote; 29.0; 9.2
Garrafa; 7.5; 24.2
fita ; 27.5 ; 8.6
esmalte; 11.5; 3.4
desodorante;14.5;4.6
Panela;74;23
Tampa; 39.0; 12.5
Banco;73.3;28.0
caixinha de música; 30.0; 9.5
Frasco de Remédio;23.0;8.0
copo; 52.7; 8.4
Desodorante;12.7;4.1
vela; 16.0; 5.0
garrafa; 20.8; 6.9
Alexa;31.3;9.3
pote de vidro; 23.4; 6.5
vela; 16.5; 6.0
jarra; 35.5; 11.3
caixadesom;23;6.5
troféu; 34.6; 11
cesta de lixo;64.2;21.0
garrafa;18.8;6
Balde Mop; 60.2; 15.0
Copo;25.5;8.0
Relógio;15.5;5
Abajur; 64 ; 20.8 
pote; 19.5; 8
